movie_id,Name of movie,Year of release,Rating,Votes,Genre
357,Bulletproof,1996,5.8,35678,"Action,Comedy,Crime"
358,The Crow: City of Angels,1996,4.7,19432,"Action,Crime,Fantasy"
359,Waiting for Guffman,1996,7.5,27503,Comedy
360,Chicken Run,2000,7.0,180043,"Animation,Adventure,Comedy"
361,Disturbing Behavior,1998,5.6,21318,"Horror,Mystery,Sci-Fi"
362,Pi,1998,7.4,172101,"Drama,Horror,Mystery"
363,Stuart Little,1999,5.9,127699,"Adventure,Comedy,Family"
364,Romance,1999,5.3,10173,"Drama,Romance"
365,Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan,1999,6.1,21118,"Animation,Action,Adventure"
366,Awake,2007,6.5,73155,"Crime,Drama,Mystery"
367,The Ladies Man,2000,5.2,12628,Comedy
368,Le placard,2001,7.0,16836,Comedy
369,Kapicilar Krali,1976,8.4,11705,"Comedy,Drama"
370,The Sweetest Thing,2002,5.2,56218,"Comedy,Romance"
371,The Animal,2001,4.8,57775,"Comedy,Sci-Fi"
372,Bubble Boy,2001,5.6,30581,"Adventure,Comedy,Romance"
373,Bijitâ Q,2001,6.6,15332,"Comedy,Drama,Horror"
374,Wrong Turn,2003,6.1,112241,"Horror,Thriller"
375,Taxi 3,2003,5.8,40830,"Action,Comedy,Crime"
376,Scary Movie 3,2003,5.5,139457,Comedy
377,Torque,2004,4.1,27321,"Action,Comedy,Crime"
378,Paparazzi,2004,5.7,14662,"Action,Crime,Drama"
379,Spy Kids 3: Game Over,2003,4.3,56302,"Action,Adventure,Comedy"
380,Gnomeo & Juliet,2011,5.9,53301,"Animation,Adventure,Comedy"
381,Idiocracy,2006,6.6,149605,"Adventure,Comedy,Sci-Fi"
382,Hell Ride,2008,5.1,15474,"Action,Drama,Thriller"
383,Little Manhattan,2005,7.5,22969,"Comedy,Family,Romance"
384,Banlieue 13,2004,7.1,67455,"Action,Crime,Sci-Fi"
385,Conversations with Other Women,2005,7.0,12166,"Comedy,Drama,Romance"
386,See No Evil,2006,5.1,26228,"Action,Horror,Thriller"
387,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,385731,Comedy
388,Let's Go to Prison,2006,6.0,23971,"Comedy,Crime"
389,The Hitcher,2007,5.6,41399,"Crime,Thriller"
390,Code Name: The Cleaner,2007,4.6,11307,"Action,Comedy,Crime"
391,Interview,2007,6.8,13360,Drama
392,Chapter 27,2007,5.7,10571,"Biography,Crime,Drama"
393,My Name Is Bruce,2007,6.2,23796,"Comedy,Fantasy,Horror"
